hhid,round,comment,lossevent,s6q20a,s6q20b,s6q21,s6q22,s6q22b,s6q23,s6q24,s6q24a,s6q25
1002,1,,3,2009,9,Cattle,Starvation/Drought,,Base camp,2,,2
1002,1,,1,2009,7,Cattle,Starvation/Drought,,Satellite camp,2,,1
1002,1,,2,2009,8, Goat/Sheep,Starvation/Drought,,Satellite camp,3,,3
1002,3,0,4,2011,8, Goat/Sheep, Disease,,Base camp,1,,1
1002,3,0,1,2011,6,Cattle,Starvation/Drought,,Base camp,1,,1
1002,3,0,3,2011,9,Cattle,Starvation/Drought,,Base camp,4,,2
1002,3,0,2,2011,8,Cattle,Starvation/Drought,,Base camp,3,,1
1002,5,0,3,2013,2,Cattle, Disease,,Base camp,1,,1
1002,5,0,1,2012,10,Cattle, Disease,,Base camp,1,,1
1002,5,0,2,2013,1,Cattle, Disease,,Base camp,1,,1
1003,1,,2,2009,9,Cattle,Starvation/Drought,,Satellite camp,1,,1
1003,1,,1,2009,8,Cattle,Starvation/Drought,,Base camp,2,,1
1003,3,0,1,2010,11,Cattle,Starvation/Drought,,Base camp,1,,1
1003,5,0,1,2013,1,Cattle, Disease,,Base camp,1,,1
1003,7,,1,2020,8,Cattle,Predation,,,1,1,
1004,1,,2,2009,8,Cattle,Starvation/Drought,,Satellite camp,6,,5
1004,1,,4,2009,9,Cattle, Disease,,Satellite camp,1,,1
1004,1,,3,2009,9,Cattle,Starvation/Drought,,Satellite camp,2,,2
1004,1,,1,2009,7,Cattle,Starvation/Drought,,Satellite camp,5,,3
1004,3,0,1,.a,.a,Cattle,Starvation/Drought,,Base camp,4,,4
1004,3,0,2,.a,.a,Cattle,Raiding/Rustling/Conflict,,Satellite camp,7,,7
1004,7,,1,2020,4,Cattle,Starvation/Drought,,,1,1,
1005,1,,2,2008,9, Goat/Sheep,Starvation/Drought,,Base camp,2,,1
1005,1,,1,2009,8, Goat/Sheep,Starvation/Drought,,Base camp,5,,0
1005,2,,1,2009,12, Goat/Sheep,Starvation/Drought,,Base camp,2,,2
1005,3,0,1,2011,8, Goat/Sheep,Starvation/Drought,,Base camp,4,,0
1005,4,0,1,2011,12, Goat/Sheep, Disease,,Base camp,1,,1
1005,5,0,1,2012,11, Goat/Sheep,Predation,,Base camp,4,,2
1005,6,0,1,2014,10, Goat/Sheep, Disease,,Satellite camp,18,,10
1005,6,0,2,2014,12, Goat/Sheep,Predation,,Base camp,7,,2
1005,7,,2,2020,10,Goat, Disease,,,2,2,
1005,7,,1,2020,8,Goat, Disease,,,2,2,
1006,1,,1,2009,9, Goat/Sheep,Starvation/Drought,,Satellite camp,12,,0
1006,3,0,2,2011,4,Cattle,Raiding/Rustling/Conflict,,Base camp,2,,2
1006,3,0,3,2011,7, Goat/Sheep,Raiding/Rustling/Conflict,,Base camp,14,,14
1006,3,0,1,2011,3,Cattle,Starvation/Drought,,Base camp,1,,1
1007,1,,1,2009,9,Cattle,Starvation/Drought,,Base camp,7,,4
1007,2,,1,2010,6,Cattle, Disease,,Base camp,1,,1
1007,3,0,1,2011,8,Cattle,Starvation/Drought,,Base camp,1,,1
